Order ID,Open Date,Open Time,Close Date,Close Time,Exchange,Symbol,Direction,Entry Price,Exit Price,Quantity,Notional USD,Gross P&L (USD),Open Fee (USD),Close Fee (USD),Net Realized P&L (USD),Outcome,Notes
"LIVE-20260506-DOGEUSDT-2021","2026-05-06","20:21:54","2026-05-06","20:38:15","Bitget USDT-M Futures","DOGEUSDT","Short","0.112673","0.112630","233","26.25","-0.016773","-0.013389","-0.013384","0.010000","WIN",""
"LIVE-20260506-XRPUSDT-2215","2026-05-06","22:15:25","2026-05-06","22:37:34","Bitget USDT-M Futures","XRPUSDT","Long","1.4235","1.4258","210","298.94","0.170836","-0.152460","-0.152703","0.476000","WIN",""
"1436054182145175554","2026-05-06","22:51:58","2026-05-07","07:58:22","Bitget USDT-M Futures","SUIUSDT","Long","0.9800","0.9975","102.354145","100.31","0.679471","-0.051634","-0.052021","0.793458","WIN","Part of 2-position combined Bitget entry"
"1436057958386118658","2026-05-06","23:06:58","2026-05-07","07:58:22","Bitget USDT-M Futures","SUIUSDT","Long","0.9800","0.9975","102.417042","100.37","0.679470","-0.051669","-0.052115","0.793251","WIN","Part of 2-position combined Bitget entry"
"1436057951801061377","2026-05-07","00:06:57","2026-05-07","00:08:38","Bitget USDT-M Futures","AVAXUSDT","Long","9.542","9.558","10.5","100.19","0.065720","-0.051097","-0.051183","0.168000","WIN","Ghost trade — stale price, 101s duration"
"1436080600472236033","2026-05-07","00:36:57","2026-05-07","04:23:42","Bitget USDT-M Futures","XRPUSDT","Long","1.4100","1.4049","70.831563","99.87","-0.919725","-0.050572","-0.050154","-0.820113","LOSS","Part of 3-position combined Bitget entry"
"1436084371105394689","2026-05-07","00:51:56","2026-05-07","04:23:42","Bitget USDT-M Futures","XRPUSDT","Long","1.4100","1.4049","70.801473","99.83","-0.919338","-0.050551","-0.050053","-0.819671","LOSS","Part of 3-position combined Bitget entry"
"1436103250733051905","2026-05-07","02:06:57","2026-05-07","04:23:42","Bitget USDT-M Futures","XRPUSDT","Long","1.4200","1.4049","70.60651","100.26","-0.920113","-0.050434","-0.050254","-0.817216","LOSS","Part of 3-position combined Bitget entry"
"1436110812350132225","2026-05-07","02:37:00","2026-05-07","05:32:25","Bitget USDT-M Futures","AVAXUSDT","Long","9.475","9.559","10.531859","99.79","0.780073","-0.050739","-0.051188","0.882000","WIN","TP1 hit"
"1436318267738828801","2026-05-07","16:21:21","2026-05-08","13:46:49","Bitget USDT-M Futures","APTUSDT","Long","1.0146","1.0422","98.493056","99.93","2.600005","-0.050877","-0.052261","2.718028","WIN","Part of 4-position combined Bitget entry"
"1436320111429038082","2026-05-07","16:28:40","2026-05-08","13:46:49","Bitget USDT-M Futures","APTUSDT","Long","1.0146","1.0422","98.493056","99.93","2.600005","-0.050877","-0.052261","2.718028","WIN","Part of 4-position combined Bitget entry"
"1436323887221190657","2026-05-07","16:43:41","2026-05-08","13:46:49","Bitget USDT-M Futures","APTUSDT","Long","1.0146","1.0422","98.019996","99.45","2.587508","-0.050632","-0.052010","2.705028","WIN","Part of 4-position combined Bitget entry"
"1436434226541637633","2026-05-08","00:02:08","2026-05-08","13:46:49","Bitget USDT-M Futures","APTUSDT","Long","1.0146","1.0422","98.280098","99.71","2.612503","-0.050759","-0.052112","2.712028","WIN","Part of 4-position combined Bitget entry"
"LIVE-20260508-SUIUSDT-0050","2026-05-08","00:50:03","2026-05-08","00:52:47","Bitget USDT-M Futures","SUIUSDT","Long","0.968","0.9677","101.1","97.86","-0.130137","-0.049911","-0.049896","-0.030330","LOSS","Ghost trade — stale price, 164s duration"
"1436459523580243969","2026-05-08","01:42:39","2026-05-08","05:19:45","Bitget USDT-M Futures","INJUSDT","Long","3.818","3.892","25.96054","99.12","1.814759","-0.050432","-0.051409","1.916600","WIN","TP1 hit"
"1436525148386242561","2026-05-08","06:03:25","2026-05-08","18:30:47","Bitget USDT-M Futures","RENDERUSDT","Short","1.952","2.038","37.878788","73.94","-3.316457","-0.037631","-0.039289","-3.250800","LOSS","SL hit"
"1436583356760993828","2026-05-08","09:54:43","2026-05-08","10:55:06","Bitget USDT-M Futures","SUIUSDT","Long","0.9806","0.9792","100.421771","98.47","-0.240910","-0.050211","-0.050139","-0.140560","LOSS","Ghost trade — stale price, 23s duration"
"1436587115213893634","2026-05-08","10:09:39","2026-05-08","15:44:00","Bitget USDT-M Futures","AVAXUSDT","Long","9.562","9.705","10.440593","99.83","1.385008","-0.050717","-0.051475","1.487200","WIN","TP1 hit"
"1436607528023240705","2026-05-08","11:30:46","2026-05-08","14:30:16","Bitget USDT-M Futures","ETHUSDT","Short","2293.69","2273.01","0.042967","98.55","0.734039","-0.046791","-0.046369","0.827200","WIN","TP1 hit"
"1436607543101763585","2026-05-08","11:30:49","2026-05-08","18:26:39","Bitget USDT-M Futures","ZECUSDT","Short","574.59","590.22","0.143802","82.63","-2.317346","-0.041905","-0.043045","-2.235090","LOSS","SL hit"
"1436618873003192321","2026-05-08","12:15:51","2026-05-08","19:51:19","Bitget USDT-M Futures","KASUSDT","Long","0.035909","0.037080","2735.229759","98.22","3.095534","-0.050088","-0.051721","3.202270","WIN","TP hit"
"LIVE-20260508-XRPUSDT-1518","2026-05-08","14:18:25","2026-05-08","15:24:09","Bitget USDT-M Futures","XRPUSDT","Long","1.3942","1.3869","71","98.99","-0.619004","-0.050484","-0.050220","-0.518300","LOSS","SL hit"